age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml,viz_frameworks,ml_frameworks
30-34,Male,Brazil,Doctoral,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , Spark MLib "
22-24,Male,Brazil,Bachelors,Research Scientist,50-249 employees,No (we do not use ML methods),"1,000-1,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib ",  Scikit-learn 
30-34,Male,United States of America,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"80,000-89,999",basic,< 1 years, Matplotlib ,"  Scikit-learn , Keras "
18-21,Male,India,Bachelors,Other,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"4,000-4,999",basic,1-2 years," Matplotlib , Geoplotlib ","  TensorFlow , Keras , PyTorch "
30-34,Male,Brazil,Masters,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,5-10 years, Plotly / Plotly Express ,"  Scikit-learn , RandomForest, Xgboost , LightGBM "
35-39,Female,United States of America,Masters,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
25-29,Female,United States of America,Masters,Research Scientist,250-999 employees,I do not know,"70,000-79,999",advance,1-2 years, Ggplot / ggplot2 ,
22-24,Female,Tunisia,Coursework,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",basic,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
18-21,Male,Nigeria,Bachelors,Student,,,,basic,I have never written code,,
40-44,Male,Spain,Masters,Student,,,,basic,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , Xgboost "
22-24,Male,Other,Bachelors,Student,,,,advance,I have never written code,,
25-29,Male,India,Bachelors,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"25,000-29,999",basic,I have never written code,,
60-69,Male,United States of America,Doctoral,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,20+ years," Ggplot / ggplot2 , Shiny ", RandomForest
45-49,Male,Other,Masters,Business Analyst,50-249 employees,No (we do not use ML methods),"25,000-29,999",advance,3-5 years, Matplotlib ,"  Scikit-learn , Spark MLib "
30-34,Female,Mexico,Doctoral,Research Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",advance,20+ years," Matplotlib , Bokeh , Seaborn ",  Scikit-learn 
35-39,Male,India,Masters,Product/Project Manager,"> 10,000 employees",I do not know,"2,000-2,999",basic,< 1 years, Plotly / Plotly Express ,
30-34,Male,Spain,Bachelors,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,3-5 years," D3.js , Bokeh , Seaborn ","  TensorFlow , RandomForest, PyTorch "
45-49,Male,South Korea,Doctoral,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,10-20 years," Matplotlib , Bokeh ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
45-49,Male,Other,Masters,Data Scientist,"1000-9,999 employees",I do not know,"100,000-124,999",intermediate,20+ years," Matplotlib , D3.js , Seaborn ","  Scikit-learn , Spark MLib "
45-49,Female,United States of America,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,20+ years," Matplotlib , D3.js , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , Spark MLib "
18-21,Male,India,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,< 1 years," Ggplot / ggplot2 , Plotly / Plotly Express ","  TensorFlow , Keras , PyTorch "
35-39,Male,United States of America,Doctoral,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"150,000-199,999",advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
50-54,Male,Colombia,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,< 1 years, Matplotlib , Keras 
45-49,Male,Argentina,Masters,Data Engineer,"1000-9,999 employees",No (we do not use ML methods),"20,000-24,999",advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
25-29,Male,United States of America,Bachelors,Product/Project Manager,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,1-2 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
40-44,Female,Canada,Doctoral,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,10-20 years," Matplotlib , Seaborn ",  Scikit-learn 
40-44,Male,United States of America,Bachelors,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib , Seaborn ",  Scikit-learn 
18-21,Male,India,Bachelors,Student,,,,intermediate,< 1 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
18-21,Male,India,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
50-54,Male,Argentina,Masters,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",intermediate,20+ years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
25-29,Male,Netherlands,Bachelors,Data Scientist,0-49 employees,I do not know,$0-999,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , LightGBM "
25-29,Male,India,Bachelors,Other,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",intermediate,1-2 years," Matplotlib , Seaborn ",  Scikit-learn 
30-34,Male,Turkey,Masters,Research Scientist,0-49 employees,No (we do not use ML methods),"10,000-14,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret , LightGBM "
50-54,Female,United States of America,Doctoral,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,10-20 years,, Keras 
18-21,Female,India,Bachelors,Student,,,,basic,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , RandomForest"
30-34,Female,United States of America,Doctoral,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Spark MLib "
18-21,Male,France,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
22-24,Male,Other,Bachelors,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",intermediate,3-5 years," Ggplot / ggplot2 , Shiny , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Caret "
25-29,Male,China,Doctoral,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
30-34,Male,Turkey,Doctoral,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),$0-999,basic,5-10 years, Matplotlib ,"  TensorFlow , Keras "
25-29,Male,Brazil,Masters,Other,"> 10,000 employees",I do not know,"1,000-1,999",advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , Keras , RandomForest, Caret "
25-29,Male,Other,Bachelors,Student,,,,advance,3-5 years, Matplotlib ,"  Scikit-learn , Xgboost "
25-29,Female,Canada,Doctoral,Student,,,,intermediate,< 1 years, Matplotlib ,"  Scikit-learn ,  TensorFlow "
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
45-49,Male,United States of America,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib , D3.js , Plotly / Plotly Express , Seaborn "," RandomForest, Spark MLib "
30-34,Male,Colombia,Masters,Product/Project Manager,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",intermediate,1-2 years, Matplotlib ,"  Scikit-learn , Keras "
55-59,Male,United States of America,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,20+ years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
35-39,Male,India,Masters,Software Engineer,"> 10,000 employees",I do not know,"10,000-14,999",basic,5-10 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras , Xgboost , LightGBM "
25-29,Male,Russia,Masters,Other,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",advance,5-10 years," Ggplot / ggplot2 , Shiny , Plotly / Plotly Express ",
50-54,Male,United States of America,Bachelors,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,1-2 years," Ggplot / ggplot2 , D3.js , Seaborn ","  TensorFlow , Keras "
30-34,Female,Ukraine,Masters,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",basic,I have never written code,,
30-34,Male,United States of America,Doctoral,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,10-20 years, Matplotlib ,"  Scikit-learn ,  TensorFlow "
35-39,Male,United States of America,Coursework,Other,50-249 employees,No (we do not use ML methods),$0-999,basic,10-20 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
70+,Male,Russia,Doctoral,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,1-2 years, Matplotlib ,  TensorFlow 
40-44,Female,Canada,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,5-10 years, Seaborn ,"  Scikit-learn , Spark MLib "
18-21,Male,India,Bachelors,Student,,,,basic,I have never written code,,
35-39,Male,United States of America,Masters,Other,"1000-9,999 employees",I do not know,"100,000-124,999",basic,I have never written code,,
25-29,Male,Netherlands,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"50,000-59,999",advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ",
22-24,Female,Canada,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn , Leaflet / Folium ","  Scikit-learn , Keras , Xgboost , LightGBM "
22-24,Female,United States of America,Bachelors,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,3-5 years, Seaborn ,  Scikit-learn 
22-24,Male,Italy,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"60,000-69,999",advance,10-20 years," Matplotlib , Plotly / Plotly Express , Seaborn ",  Scikit-learn 
22-24,Male,United States of America,Bachelors,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
35-39,Male,Brazil,Masters,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,5-10 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
25-29,Male,Russia,Doctoral,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"20,000-24,999",advance,< 1 years, Ggplot / ggplot2 ,  TensorFlow 
22-24,Male,India,Bachelors,Software Engineer,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn , Keras , Xgboost "
35-39,Male,Netherlands,Doctoral,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",advance,5-10 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Xgboost "
30-34,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years," Matplotlib , Seaborn ",  Scikit-learn 
